22.01.2021 06:00;5,80717;5,05936;4,82568;13,486;38,6907;3,26474;8,07031;3,35662;68,0741;11,2766;18,9554;;16,905694;11,6;11,4;14,5;14,1;12;9,5;;16,4;8,872735;20,5;3,139775;20;6,19812;14,3;8,5;3,888;13,1;20;24,5;32,2;49,1;17,7;15,6;40,1;19,4;25,4;17,6621;3,35583;5,35041;7,58765;20,3;10,7123;9,5;52,9679;69,7853;34,6901;47,3448;62,3142;9,08143;45,1722;13,9782;4,7;9,2951;9,33327;11,1588;2,65184;17,1;14,786688;13,886688;17,926704;27,506736;30,13344;18,9;19,213392;22,273536;25,32743;39,213713;19,706736;15,086688;12,435;8,01606;12,6786;20,3;8,7;4,5;24,7;22,5;14,8126;2,17809;8,59002;8,66826;2,70754;3,17938;3,0029;11,5827;29,4249;23,2311;21,0845;10,74;12,2363;7,08713;10,4859;11,3292;11,7;18,4;;15,5;8,34009;52,5518;24,0503;34,7715;3,62634;8,30817;44,0158;12,3239;13,2566;33,0957;9,82874;4,2218;8,27312;14,6761;7,93161;5,88152;17,9372;16,0269;19,5943;12,2772;19,7276;13,0882;13,2261;10,0809;19,8391;7,795;19,1928;11,2812;9,76673;21,8903;10,1252;;3,00821;10,8671;17,2086;5,02272;11,7409;22,841;6,11256
22.01.2021 07:00;5,7599;5,71529;4,55056;13,6798;60,6715;5,94951;9,26762;5,57507;77,207;19,5714;24,3514;44,955734;20,771612;12,7;17,4;22,5;23,9;9,9;12,5;;37,8;14,678428;24,8;3,279551;33,5;6,37029;20;11,1;4,836;15,6;23,7;32,1;34;49,1;17,6;14,4;48,5;17,7;31,6;34,6605;5,06444;5,55218;8,39715;21,2;12,1409;10,9;18,9478;90,7706;64,7812;35,8059;89,139;12,4287;49,9071;19,9283;;7,13007;11,9608;12,4523;2,6768;18,9;22,93336;11,540016;20,080032;25,060064;43,260305;23;21,360064;;43,97546;35,933601;28,646993;15,83336;16,4231;8,20779;15,3488;20,9;11,9;4;28,5;32,1;21,1495;2,11595;14,5436;14,2407;7,43522;11,5964;7,75582;17,0278;22,8252;31,0683;35,4266;15,6;14,1631;7,29119;11,3457;14,2024;10,6;25,2;;21,2;6,93289;53,2025;31,3069;42,0353;3,41413;16,6583;66,5371;20,5179;21,7833;31,6739;12,249;4,64988;13,7744;20,5183;9,71137;5,35148;17,7407;19,8637;30,1468;12,9527;23,8761;13,9836;13,0001;15,6008;20,9537;7,7907;21,5118;11,6172;13,4985;23,6865;15,0866;;4,50064;9,78838;20,0482;6,14814;13,5323;19,922;6,02174
22.01.2021 08:00;5,34829;9,53876;5,2665;11,6733;54,1082;6,39564;10,2708;11,9548;80,432;27,7606;43,1692;45,146672;24,284122;15,4;13,9;20,9;21,2;12,9;14;;18,7;15,098877;38,8;5,572735;44,9;5,85378;27,7;10,9;13,65;15,2;24,1;27,4;48,1;61,4;22,6;14,6;59,7;28,2;39,7;54,4994;6,51083;5,69526;7,84744;21,5;13,442;15,1;12,8789;104,872;37,1735;38,6867;141,451;13,8248;53,4629;12,7153;;6,99574;13,3269;20,6055;3,40873;22,3;27,46672;10,826704;31,226784;31,540096;53,480433;22,6;21,373456;;69,74002;40,407137;40,400802;19,173376;24,6303;6,77485;15,0846;24,5;13,8;3,7;22,4;38,9;10,5381;1,94068;13,9223;10,8862;7,29865;23,3611;17,097;20,5302;33,7265;38,3309;38,7052;18,48;21,8953;8,00272;11,9132;20,3203;10,8;41,6;;45,4;7,82304;41,8356;37,1688;41,8211;3,77727;15,1075;52,5534;20,008;33,595;43,6855;18,0487;4,77097;34,6587;39,1263;12,1837;5,60375;20,7718;11,4283;32,0477;19,7308;39,4637;24,1879;14,2957;13,761;24,2378;8,5085;25,6616;10,6016;22,0416;29,6137;24,3805;;7,06696;12,7074;21,0565;6,65376;22,6979;24,9213;5,78486
22.01.2021 09:00;5,30686;5,38069;5,32651;16,8176;49,5463;7,16416;19,5174;27,7909;92,7267;25,4206;47,3475;43,838733;23,230714;15,2;16,6;19,2;19,1;14,4;14,7;;15,3;16,890938;27;7,765918;46,8;6,77202;24,7;16,7;18,99;15,3;29,3;26,9;45,2;60,3;22,2;20,1;66,9;26,8;38,8;34,68;6,23889;4,77671;7,73085;21,7;17,2365;22;16,8573;141,668;78,6055;66,3836;158,277;14,2382;45,0331;13,8615;;8,527;14,8127;12,0987;3,81497;23,9;30,63352;10,806736;32,840257;38,446913;57,05413;21,8;17,486768;39,707217;70,41852;40,693905;41,507378;19,786768;32,6374;9,32047;12,1354;25,1;14,4;3,7;25,5;56,6;13,3165;1,60289;15,1605;9,13617;4,27923;18,4308;16,0735;21,0462;35,0119;38,1547;37,38;18,18;25,8638;8,86463;11,715;22,2487;12,6;34;;56,1;8,81078;49,9611;39,6751;56,8633;5,08915;16,5972;51,1582;29,6551;40,6605;56,9627;13,3362;4,90162;28,6354;29,5773;13,1716;6,20816;20,5641;48,669;31,1822;15,5658;27,6162;20,3894;14,4352;11,7077;23,6762;9,2914;27,1019;15,622;21,0269;31,3759;34,1899;;7,52903;17,2282;20,4878;6,60915;17,5;27,1153;5,58092
22.01.2021 10:00;5,94791;4,89791;5,55819;16,0119;42,3394;6,23578;23,3321;10,9595;65,3054;18,2538;41,3603;36,694387;21,610265;13,9;19;17,6;13,2;12,4;11,1;19,296632;16,7;13,318204;34,3;6,659102;17,1;5,58596;25,6;15,5;13,55;14,2;29;27,6;44,4;58,3;21,8;15,9;39,5;22,6;38,2;21,7936;5,7625;4,71722;7,46795;21,7;13,4606;14,8;8,67396;141,829;44,4609;59,5291;127,684;13,4387;14,5229;6,56485;;8,3771;16,3518;11,2835;3,69706;22,4;27,706977;11,086768;30,380353;37,847073;35,920369;20,7;18,753488;23,033681;62,49783;31,893825;31,85429;13,393424;21,9445;9,16273;13,6829;23,2;12,5;3,6;19,2;35,6;15,4833;1,72346;10,8296;8,56682;3,17028;10,8433;8,73518;20,1795;23,5131;29,0809;33,7834;19,44;24,8302;9,09153;13,9155;21,4086;12,2;32,3;;56,3;10,8678;56,7083;37,8027;51,5571;4,2441;20,8127;65,383;32,4026;28,9237;44,1348;12,5369;4,66422;28,714;40,8518;13,5046;6,46362;16,9706;37,1907;24,197;12,8858;23,1124;17,8937;13,2511;12,708;22,1863;9,3649;23,4372;13,2636;17,5351;22,9174;25,3098;;6,44344;15,0792;21,3757;6,58578;16,6728;31,4285;5,63243
22.01.2021 11:00;5,38494;5,608;5,8216;18,2718;24,2525;5,49434;23,5096;5,58038;64,8402;18,3207;34,1637;38,493264;21,555734;13,2;19;26,4;11,5;10;8,6;16,663673;13,5;12,311387;34,2;4,465918;14,3;5,89204;23,5;13,6;9,444;13;19,4;21,8;42,1;61,7;24,7;14,2;32,6;28,6;33,8;18,0562;4,27528;5,20808;9,02623;21,2;11,3718;16;5,14464;61,0767;37,5124;58,3357;40,8802;13,9424;10,6633;6,27471;;7,90682;15,1098;8,71113;3,952;22,6;12,093424;10,420128;27,127025;35,107057;32,633761;20,2;21,446752;22,893665;51,21612;27,247153;22,787089;13,486768;13,8605;7,56408;12,0751;15;9,6;3,6;17,2;23;11,3915;1,68097;11,1533;7,54337;3,65161;14,7905;14,6215;19,5711;19,2093;23,439;26,3845;15,24;18,0534;8,07286;13,1907;19,4393;9,3;27,2;;45,4;10,646;34,0501;23,4475;47,5884;4,18008;14,5933;54,987;23,3439;41,8729;24,66;12,6107;4,67856;17,8055;30,8576;16,7013;7,84664;15,3858;51,6289;18,7031;10,6801;19,7998;15,7942;12,8672;13,1788;22,8906;9,4091;17,3039;12,595;15,1968;19,8285;20,8807;;8,18867;13,5083;22,5511;6,12902;14,3245;28,9169;6,18213
22.01.2021 12:00;5,26331;5,78327;7,2506;18,3286;28,7908;5,71051;22,8892;9,3518;70,5703;17,5107;44,0689;37,046672;21,095509;12,2;16,3;23,7;12,1;12,5;8,2;16,615958;14,6;10,744346;35,4;3,81251;17,5;5,9303;18,5;12,7;8,851;10,5;17,3;12,1;39,8;32,8;18,7;15,2;29,2;26,2;24,1;21,2285;4,44722;6,69731;9,0581;18,2;11,3089;12,6;4,76344;64,1837;27,2179;20,1649;26,8137;17,4737;9,0285;5,58208;;9,1948;14,5364;9,78665;4,67272;19,2;11,246752;9,593424;27,640337;32,387009;27,366961;19,3;21,006816;20,606977;43,8154;30,027185;32,714435;12,73344;13,2157;6,03714;12,2828;16;9,5;4,8;15,8;23,5;14,7802;1,70965;11,5742;8,12653;4,12572;11,7335;8,12866;16,1516;19,0316;22,249;29,1698;13,56;11,9472;8,18498;11,4642;17,7925;8;30,7;;36,2;8,77748;32,6389;23,2722;30,5627;4,7843;9,49255;40,2657;20,4085;26,7974;21,7548;10,5277;4,94677;13,0112;21,7793;13,9608;7,56196;15,1765;56,8046;17,4814;12,6994;18,9516;16,7996;11,8781;10,1774;17,4785;10,0391;18,8807;7,81399;13,0739;16,3354;18,7695;;9,31569;18,095;25,0957;7,17637;13,9221;25,3627;5,91605
22.01.2021 13:00;5,78433;7,18434;6,60306;21,535;15,9599;6,7313;16,6771;10,0242;40,8924;11,4964;27,4988;17,838733;21,209142;12,7;16,4;16,8;11,1;14,1;8,6;17,688693;10,8;9,457979;33,2;4,71251;17;5,33727;20,8;14,1;11,83;9;14,9;11,7;26,6;16;13;13,6;36,2;25,6;22,5;17,5877;4,56306;6,08612;10,3338;18,8;12,7266;11,6;5,31046;69,9914;28,8728;26,5067;41,9918;18,4762;11,8041;5,52377;3,4;9,9394;14,2383;11,4188;5,90277;10,8;11,846752;8,646752;24,066881;26,066881;29,846993;21,8;23,420209;20,233601;59,39631;37,300642;46,482037;16,140096;11,087;5,87462;15,5626;15,1;10,3;4,1;12,9;25;16,0683;1,82171;10,7737;7,72395;3,85394;12,5604;7,03253;23,3264;20,6253;27,2721;31,4169;14,82;15,7594;5,89098;12,2974;17,8531;6,6;24,2;;34,2;13,543;35,7027;23,7986;26,3393;5,14894;12,3388;53,2641;17,6472;17,5111;21,6943;11,8656;5,49647;20,0351;27,3091;12,6707;7,92099;15,9753;65,1505;17,0659;11,7163;19,1689;16,7438;11,3836;10,1278;15,5241;11,2011;20,8734;9,63877;15,4624;18,0965;20,6905;;7,30809;28,9052;23,031;7,68996;18,7887;27,4553;6,12902
22.01.2021 14:00;6,75786;6,98889;7,11742;16,508;13,8392;6,64048;11,3103;6,78601;50,6115;8,40377;25,778;22,448998;24,648917;13,3;15,5;8,9;14;18,7;8,2;21,508019;14,1;10,204571;38,2;6,065918;18,1;5,56683;20,5;13,1;11,8;7,9;14,6;9,7;25,6;14,4;11,4;12,4;36,8;29,9;16,4;13,6825;5,39111;7,13861;12,3218;;14,0381;15,3;6,4865;101,917;42,5951;;59,1897;23,9586;26,074;7,90851;5;8,6945;16,422;10,4412;7,69899;9,6;15,340096;8,80008;20,553488;25,086848;35,127025;22,9;26,400241;24,473617;60,15646;38,200642;46,435445;17,073456;11,3828;8,57426;16,411;15,6;10,3;4,1;14,8;27,9;14,5542;2,07983;10,9056;8,58222;4,00843;13,979;7,18316;31,133;26,5613;35,6931;37,2783;15,66;21,3432;6,34478;10,6118;13,6689;6,5;35,8;;43;14,4791;49,303;32,1211;23,606;5,66921;14,1148;68,4841;17,0635;29,8355;28,2928;13,5853;5,96703;18,778;24,8366;12,3499;10,6143;17,2059;45,6438;18,1311;10,8495;18,8943;18,2808;10,4133;11,3806;18,0961;11,3612;17,7196;12,2196;17,953;17,0226;22,3264;;17,8591;44,2279;22,6125;13,1052;22,0127;29,457;3,34334
22.01.2021 15:00;6,64792;11,4497;8,86265;21,1791;10,4467;8,20354;18,2017;7,55134;63,4025;6,61871;22,4198;26,655814;29,788693;16,5;20,2;8,6;21,1;24,9;9,7;31,052366;20,2;12,557979;46;6,619326;17,9;5,71987;25,9;16,1;12,23;9,2;14;10,6;28,6;17,3;16,5;14,9;50;36,2;15,9;24,548;4,56806;8,10507;10,2743;26;16,3182;27,2;7,51028;98,0171;47,0984;;104,088;20,1639;24,9719;10,5275;5,9;10,837;19,9559;14,0756;9,30985;11,2;18,740096;12,206736;25,873456;34,326864;36,286929;24,1;;38,320369;66,13729;49,900722;49,141219;23,026784;11,3138;10,302;16,3342;15,5;12,2;4,2;17,2;33,2;9,72981;2,25722;16,2167;11,9472;4,37317;19,6645;7,74307;36,8996;47,8797;48,692;35,9417;16,32;23,286;6,75608;12,0508;15,278;6,2;50;;32,6;15,0644;49,6276;39,0319;22,9416;5,3391;17,5219;63,3244;24,5278;24,945;27,9657;14,5259;6,78282;17,1809;22,9844;12,7164;22,6944;21,22;74,8316;19,2353;11,1241;26,5529;18,3233;10,536;17,5446;18,688;10,9332;18,9054;16,194;21,0212;20,2969;28,6206;;17,0975;51,462;32,3322;7,21302;24,8192;30,7975;3,72043
22.01.2021 16:00;8,30445;7,9518;10,8766;46,7641;8,68819;7,94064;17,0465;10,4257;59,1573;13,4748;36,6307;46,511628;38,155734;27,8;18,8;8,6;32,1;28,6;13,4;41,958059;25,7;19,177306;52,6;6,472735;22,8;6,06421;29,2;19,8;14,1;10,5;;12,3;36,3;25,3;19,5;24,8;63,2;31,5;24,1;28,6086;6,81472;3,36959;14,0043;27,3;20,8212;35,7;7,53164;122,781;64,9522;59,5083;112,988;22,7125;16,5496;10,4897;6,9;19,6598;37,7599;15,645;11,054;13,1;21,26672;15,626704;44,553488;68,220369;54,320289;26,9;38,327025;47,873777;74,80505;57,487249;65,148436;35,353488;12,307;11,0811;15,6485;18,4;14,7;4;19,3;42,6;14,1691;2,44577;18,371;11,1897;5,20333;17,8343;11,8045;49,7332;62,0779;50,4766;45,5653;23,16;21,5441;8,77854;26,0907;32,6894;7,3;55,1;;52,3;19,7518;50,1935;42,5516;42,8239;5,71129;24,6239;62,9903;19,7276;25,3823;41,9296;28,356;6,67182;17,7614;33,7394;13,3537;43,3912;23,7359;37,1907;29,5364;13,5322;38,6835;23,4597;11,4609;26,4888;26,9739;12,3396;28,1596;17,693;27,4926;37,693;38,1111;;24,5825;68,9;35,8869;8,65021;;29,3141;4,85011
22.01.2021 17:00;8,38146;10,2584;12,3064;47,2461;18,734;9,7921;13,9382;9,4729;67,44;11,7466;43,0131;63,202727;45,740978;29,7;28,4;16,4;38,2;31,4;16,1;55,654771;31,5;19,823897;46,1;8,032959;23,5;6,19812;24,8;17,1;22,81;11,8;;21,4;34;18,8;24,5;23,1;43,1;26,1;24,2;;4,02944;2,23954;14,2407;29,5;23,3272;65;9,70483;125,757;71,9528;72,5291;141,34;35,8065;48,121;9,08535;6,3;17,1577;26,8467;22,9029;20,8111;16;22,080032;16,393344;43,906736;83,000561;66,293745;31,2;48,007137;39,960305;89,05293;76,401283;67,248276;33,846752;17,1454;11,9845;20,8663;22,9;13,8;3,7;34;49,6;11,412;2,6221;19,4875;8,04368;6,22566;18,7319;14,9933;52,5156;68,2507;59,0784;59,025;32,7;27,3495;9,00545;27,8761;66,7701;7,7;39,9;;51,2;15,2312;46,733;38,3774;43,1887;6,68769;26,9364;66,1616;26,9847;24,3;40,3427;38,3196;7,18806;20,3368;38,3303;14,093;63,8613;27,2938;26,6316;30,0759;13,0483;48,039;25,2857;12,111;39,5311;34,5528;14,0871;33,6184;21,4472;43,2749;49,8835;36,1373;;24,9787;69,9542;44,6049;9,80378;16,6175;32,7499;4,0869
22.01.2021 18:00;9,51857;14,6778;11,625;36,0311;20,1608;7,72554;14,3056;15,7703;75,8352;15,1871;43,0041;54,52077;40,06255;23,8;34,6;21,8;29,5;23,3;14,5;42,372815;27,2;15,045469;43,4;8,272735;22,8;6,37029;21,5;13,5;11,19;10,9;;23,9;37,8;23,2;29,9;15;36,2;24,8;21,4;32,606;3,86306;3,50671;12,0913;24,5;9,68194;20,4;19,5655;141,243;80,9063;71,7669;132,385;35,9748;52,0331;10,526;5,4;13,6896;24,8334;17,8295;55,5994;12,5;22,93336;17,093344;42,26672;70,600321;62,900401;27;29,240176;33,726945;89,66536;74,781476;67,041299;34,740096;20,3846;14,7649;18,2674;29,1;12,9;3,1;24,7;38,9;8,64793;2,75009;21,0129;8,37137;4,40814;14,8973;12,061;55,587;69,8607;55,899;55,4502;29,34;36,3677;9,32588;19,2703;69,6927;8,9;42,5;;53,7;24,8334;44,4057;38,0515;46,92;8,38802;24,9686;56,4778;28,3364;29,8326;42,9966;37,0635;6,89223;28,9716;29,8641;16,6078;47,2567;27,5987;37,4132;31,5315;13,6708;43,677;25,5778;12,0708;37,6488;36,18;15,5264;33,1955;23,6129;28,3203;60,6417;34,6165;;26,7064;79,7076;46,474;10,5383;22,6226;33,2502;7,13973
22.01.2021 19:00;9,29498;8,25294;10,1872;27,0984;21,3471;7,95233;22,0761;10,6865;80,6381;17,3987;37,642;51,359423;40,822775;20,3;30,6;24,6;25;28,1;11,3;49,678589;24,3;13,078428;35,8;7,572735;18,2;6,40855;19,2;13,3;9,275;11,2;;24,3;46;26,4;34,2;12,8;37,5;20,4;25,8;29,1362;5,13389;2,04435;9,84202;24,1;9,49951;18,8;12,6033;131,266;95,0731;70,2416;119,954;28,2521;40,1872;22,8776;4,5;11,051;21,8606;14,2616;41,8595;12,6;18,43336;19,593344;39,56672;53,3668;52,100241;31,9;30,833601;27,360305;79,85822;64,780754;59,147153;50,740497;21,0496;18,3759;18,2731;26,4;14,4;3,8;43,6;31,4;8,42536;2,56261;17,4971;7,89762;4,39421;11,8588;8,7867;38,6049;67,7164;60,6389;52,56;23,34;28,34;9,24989;14,1939;64,889;15,7;56,4;;44,5;20,3103;42,7226;34,6136;51,1821;10,9978;24,181;52,443;31,617;33,4323;43,9957;33,3097;6,64579;26,1057;27,8525;20,4563;50,847;24,6956;22,5378;27,2104;13,0903;39,1902;15,3141;12,2224;31,5522;32,0238;15,056;39,9302;17,2371;35,2834;66,1557;33,7732;;32,8035;75,993;50,5864;6,49496;13,1883;37,455;4,73857
22.01.2021 20:00;8,59338;8,87327;12,9267;24,4391;13,629;5,73547;19,3241;8,16371;81,2637;15,3502;41,1457;58,873296;43,660305;16,5;17,8;27;26,1;27,1;11,9;40,004651;30,1;12,538653;36,9;6,265918;15,5;6,42768;16,7;12,5;8,992;10,9;;32;42,5;32,1;37,1;15;47,9;22,5;25,3;39,4042;3,78583;1,63821;8,0373;26,1;7,7883;15,3;31,2534;111,881;71,3959;62,0938;96,6197;26,4002;41,5479;24,2465;3,9;11,4175;22,8839;14,514;47,5121;11,5;13,93336;23,620048;47,253408;72,460786;55,013553;;27,480192;26,500241;77,37987;71,909142;60,120369;50,100642;12,7451;24,4885;19,8844;27,9;10,9;4;26,8;35,6;21,2151;2,69061;17,2991;7,85566;3,51912;11,8519;6,62774;28,5813;70,2803;67,0416;55,7671;35,04;40,6045;8,89651;19,2671;56,2736;24,2;53,6;;40,8;21,2787;46,6135;33,8992;51,8037;5,82541;19,8381;41,3796;41,5716;28,9818;40,9785;30,8152;6,08766;22,3061;26,9773;18,5616;38,0881;21,2322;31,9576;20,0078;13,0308;36,4661;12,7477;13,1215;25,9103;29,4957;13,7846;27,2423;15,047;31,4977;39,009;29,957;;15,1606;77,264;29,881;7,42759;16,013;30,6111;5,26012
22.01.2021 21:00;10,302;13,0117;9,77032;26,948;15,7103;5,71954;18,3299;8,75165;80,7762;13,9087;47,9307;61,771291;47,085325;16,2;28,6;12,4;21,1;28,7;23,1;40,43761;19,1;10,879551;26,6;5,019326;12,3;8,45546;18,6;11,3;7,986;12,6;;37,2;38,7;28,2;33,7;16,7;53,9;26,6;25,6;35,6657;2,98833;3,34377;13,1907;25,6;11,0781;13,3;30,2759;107,24;;53,5742;95,4428;51,3564;33,7369;15,9356;3,4;8,6801;16,4329;10,7741;7,47858;9,3;13,286688;26,386688;47,580112;74,548035;51,507057;18,5;23,086848;21,666881;83,98204;71,684763;61,268003;50,287971;12,1636;21,9041;16,751;38,6;9,4;3,6;37,2;45,1;14,9847;2,55996;13,6972;7,6002;3,22815;11,4451;4,73486;24,4715;72,81;65,3881;57,6632;35,7;46,6129;8,78864;20,7385;50,5845;13,6;31,8;;40,7;13,9317;45,6162;32,7383;45,174;6,56435;15,699;52,0853;35,2842;28,8905;32,8718;55,0014;6,15402;13,1341;22,7501;16,4675;59,9287;19,376;33,4957;27,5045;13,8328;28,065;15,5897;14,2244;15,2457;29,23;13,5662;15,6698;12,3266;36,7711;44,5613;20,9987;;13,5439;47,9206;26,6425;6,95437;6,02931;26,4977;5,76202
22.01.2021 22:00;8,30605;7,69792;12,2092;27,9667;30,5294;5,91233;15,7943;19,0733;61,5978;16,6147;30,5267;53,406014;41,210265;14,9;27,1;15,6;17,7;27;30,7;32,303448;26,4;9,172735;26,5;3,81251;11;6,17899;14,3;10;8,496;14;;38,3;37,4;54,1;34,8;19,7;50,8;28,5;24,5;34,0267;4,04389;2,48725;9,73367;28,9;12,9262;15,5;64,377;72,9741;68,5224;49,6281;92,9386;26,798;33,3603;15,5847;3;7,70234;16,1176;11,0335;9,50423;9,2;13,086688;26,440016;41,380112;78,468164;31,813472;17,5;24,473456;22,220209;75,53232;51,75429;61,881556;35,133681;13,1429;31,2734;15,3655;45,5;8,8;3,4;29,3;38,1;8,35957;2,31671;11,6591;7,31021;3,35603;6,86051;3,87658;21,8029;66,2269;58,3089;55,5113;33,54;38,1808;9,72335;18,2474;46,8483;15,1;26,5;;30,7;13,2648;60,4389;41,68;53,664;4,77194;17,3647;47,4596;26,589;32,6291;33,5216;23,6052;6,17417;20,5933;42,636;14,4866;56,5798;19,1566;28,1724;36,7017;14,5732;27,3023;15,6433;15,1843;18,173;27,1993;13,8471;12,4136;14,0085;27,1266;40,4956;24,9706;;8,47122;34,768;31,5594;6,61552;11,8518;25,9453;5,78008
22.01.2021 23:00;11,156;5,93464;25,5231;20,6857;27,0028;4,96642;19,1046;35,424;62,4135;16,4591;29,7943;40,104731;40,03753;21,3;23,7;13,3;16,3;12,9;39,9;44,593424;43,7;9,239775;27,6;3,519326;10,2;6,02595;16,6;10,4;4,833;15,1;;29,6;37,4;55,2;31,9;23,3;39,8;25,4;23,1;33,6448;11,2222;2,08966;11,0372;27;13,5345;8,1;65,842;63,0594;58,9608;39,9263;77,6378;22,8582;27,9982;15,7276;3;6,35463;13,213;7,6446;35,4984;9,1;12,886688;25,393344;42,846832;73,367442;39,193504;16,3;23,10008;23,260225;53,84908;40,760305;46,460305;26,446752;21,0321;33,153;18,581;36,4;9,1;3,3;28,4;30,9;23,6559;2,18658;7,65872;7,89868;3,81922;6,72561;3,05336;22,1504;50,2727;53,1776;;32,7;30,9964;6,87352;19,2145;40,6571;9,7;23,7;;30,4;10,9945;67,0151;49,2627;44,6523;6,94443;31,3111;52,2008;31,8098;28,3415;35,7008;52,1217;5,5618;19,6973;30,029;10,7704;40,6635;17,8252;25,1461;35,0463;13,64;31,9097;12,9724;15,232;23,2055;25,4387;13,8511;12,309;9,54153;32,4103;42,473;15,9249;;6,08441;24,3506;29,7229;7,26719;12,6411;28,666;7,02182
23.01.2021 00:00;8,86;14,0792;13,8631;22,457;22,2143;4,41353;32,1658;24,9314;84,1179;15,2216;39,0675;35,706977;29,52502;24,2;26,7;14,1;13,6;8,8;43,9;41,229671;49;12,759102;26,1;3,259102;9,7;6,10247;13,4;11;2,485;12,9;;28,1;32,8;49,2;33,8;24;39,4;20,6;19,5;30,0131;19,3289;1,74704;8,29475;25;17,6694;7,8;65,3039;57,2851;59,0086;36,36;68,1283;32,3641;26,1919;17,1578;2,9;6,1149;11,498;6,985;15,7485;12,6;11,340016;21,340016;51,813793;39,653488;34,613472;15,9;21,646752;18,166881;46,67514;37,873536;28,553408;16,13336;20,0739;26,4015;20,6681;24,4;6;3,6;24,3;19,1;31,3493;2,05221;10,047;7,61082;19,0582;5,86946;1,96192;31,1314;16,1454;29,0765;11,33;22,86;15,6579;6,0201;13,2029;16,1367;6,8;26,3;;25,2;8,89402;54,9025;47,8659;30,5631;36,9781;27,7282;34,947;26,0627;43,5631;27,8658;55,4979;4,86976;18,2893;25,9403;12,376;14,4563;18,1582;22,4316;33,2146;11,8363;26,6522;12,4429;15,6457;36,0285;19,5226;14,5253;27,6456;6,01224;36,2494;47,2418;20,9245;;7,31871;27,1429;25,3749;6,29951;29,0962;21,0734;9,45696
23.01.2021 01:00;5,97872;11,6032;15,2843;22,9217;39,9049;3,59775;27,4991;18,6871;68,7215;21,98;47,5042;24,978508;30,678428;25,2;23,4;11,6;8,2;11,3;38,6;21,279551;24,3;24,178508;35,8;3,405694;13,4;5,89204;11,6;10,1;1,784;12,3;;23,3;30,3;43,3;23,5;23,9;33,3;21,2;22;24,6292;10,1867;1,62934;11,9124;33,8;22,2892;27,7;62,1982;45,9698;56,2439;33,8143;59,2561;22,5691;26,2641;13,047;2,9;6,45954;7,03085;10,0362;4,25898;12,5;11,686688;21,940016;34,993424;33,293424;29,426784;15,6;19,626704;21,753569;44,45517;30,953488;23,306736;16,10008;25,103;25,8465;22,0433;24,3;6,7;3,5;32,4;16,2;10,5888;1,93006;7,93641;6,31172;26,7616;5,3643;2,1595;35,6971;10,3338;20,335;8,6991;15,42;9,85673;5,52591;9,9476;8,71371;6,5;25,2;;19,7;8,19797;60,492;28,6364;25,4991;24,4063;45,1657;60,1728;29,3184;25,6714;31,8518;53,1159;4,62598;16,3996;27,4542;10,9669;18,6824;19,1296;19,7941;22,4899;13,2401;19,785;13,6745;16,4307;24,4567;19,1012;16,4261;19,4505;6,23072;33,3596;45,0053;20,8844;;5,64837;16,2414;21,7019;5,864;14,1819;25,5379;8,74687
23.01.2021 02:00;5,87462;12,2639;21,5764;35,3502;26,3693;3,88402;22,6187;23,2441;49,4443;23,3784;31,0243;25,206897;23,098877;23,3;12,8;10,2;9,9;23,3;36,9;17,539775;38,9;29,266079;29,6;2,859102;13,5;5,1651;10,5;8,5;1,383;11;;21,8;42,9;40,1;21,3;18,2;30,7;14;22,8;26,751;6,16194;1,52811;25,0228;23,8;20,3043;10,6;56,9163;43,0646;43,882;17,438;53,1462;8,03498;22,5246;12,3171;3,1;4,13646;5,97242;12,2823;2,407;13;10,586688;18,940016;28,113392;37,340096;31,973456;16,9;25,966881;16,266881;44,28869;28,946832;21,213392;27,147073;23,9457;27,195;24,0049;17,9;5,5;3,7;13,9;18,3;16,2955;1,89076;6,80347;7,14663;25,2068;4,002;1,3453;24,1957;19,2962;33,507;9,90942;16,32;10,4476;5,14119;8,30136;13,3878;14,8;25;;15;8,36325;28,6221;24,5411;24,4949;20,2038;55,1649;66,8101;19,6155;19,9706;28,6476;56,806;4,32856;14,2247;17,9586;8,43989;9,33056;19,2746;18,1562;19,7071;13,7499;15,3114;14,7559;17,4593;24,3261;27,1996;19,2117;13,5169;5,40371;32,5653;44,1948;26,2455;;5,27924;15,0108;23,3429;5,66111;12,5101;22,2583;7,81902
