Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135
13.01.2016 08:00;4,77878;11,9536;17,3141;25,8186;12,6662;19,2554;16,3862;6,18484;6,13851;;17,7601;67,0496;38,65;42,2858;16,0649;25,8292;47,0;33,7;24,8;43,3;14,9;23,7;25,9;46,2;24,7;25,0;14,69184;37,9;16,8;24,5;14,6;30,6;28,1;22,5;31,71754;22,7;22,2;25,42;23,7;33,4435;6,75773;9,52461;15,8747;24,6671;;9,10643;83,3834;62,509;46,3908;47,1908;64,6843;40,1799;18,9888;48,4542;52,7255;35,4718;12,113;12,174;16,109016;21,64;26,082;29,56;29,66113;23,2;29,8;26,693;21,64;80,21;38,44;36,09;37,87;16,9849;19,4151;10,1687;15,2;18,2;5,01206;18,0;5,8964;20,4499;19,0585;;15,2678;38,1104;30,4608;33,7203;35,6953;34,7699;30,3915;18,4168;8,55096;32,723;5,8844;20,7468;15,3516;122,0;21,1039;19,2;6,4;16,0;24,3;13,9846;9,84096;37,5288;22,0447;47,9757;12,4542;33,8413;72,8307;20,4671;36,9096;20,011;7,59383;28,9006;14,9943;11,8602;8,44696;33,5492;15,4039;6,68594;26,8278;21,5794;10,6;17,3317;7,23775;16,6767;14,9846;28,6806;32,4525;37,5445;31,3179;15,4989;31,9294;35,0385;14,7511
13.01.2016 09:00;5,3463;10,4487;19,5309;30,9417;12,7767;19,7849;18,3015;7,32945;6,00349;;21,1227;70,8097;41,7937;48,3096;16,701;25,2776;43,3;31,3;25,5;42,8;7,9;;20,9;41,2;23,6;22,2;19,58912;43,6;16,4;22,9;12,5;26,8;26,2;21,2;29,63237;23,8;20,1;26,47;20,6;32,3621;6,16018;12,6874;15,3354;25,6517;;8,36341;80,5904;53,9108;46,1676;46,6215;57,1794;26,0907;16,0866;48,3463;54,7615;27,0696;15,0282;15,766;15,606094;23,54;26,082;26,36;25,966348;22,8;29,4;24,909085;22,94;114,41;41,84;42,49;39,87;27,101;16,8242;14,3868;16,0;18,5;3,65383;20,1;10,4806;17,1947;19,7357;;19,552;37,6313;34,5707;40,8586;45,5595;41,0506;21,745;18,2438;14,5732;37,649;7,3623;22,3263;35,9669;101,1;25,7102;17,6;7,0;18,0;39,0;11,6364;9,11068;38,9177;22,999;49,3468;25,0534;33,8249;89,5921;32,2947;33,7755;19,7368;7,82698;32,2569;21,0761;11,0992;8,34706;36,3256;19,812;6,97847;29,8831;23,8161;7,4;16,9681;11,2556;19,2704;14,7974;28,4571;36,2382;40,7623;25,894;18,4524;25,758;36,4385;19,7611
13.01.2016 10:00;5,41804;9,12714;16,3827;22,2769;10,7728;25,6454;15,6258;8,1616;5,33013;;17,7372;52,405;32,0024;40,6518;15,6292;23,6521;40,4;22,9;25,9;50,4;14,5;;20,9;33,0;21,0;14,3;24,06554;36,6;16,6;19,2;11,3;27,7;28,3;20,3;32,08101;23,4;22,2;22,28;24,6;30,9922;7,69711;12,6429;18,9281;18,267;;8,03359;77,7507;39,651;38,3886;41,3964;48,9202;14,3741;29,8977;41,1211;45,0534;21,0242;9,13351;16,737;14,303173;24,74;22,176;24,46;23,671565;16,0;23,4;20,72517;19,94;78,41;34,84;39,49;34,67;13,8121;16,5481;23,6665;17,8;19,1;2,65907;17,7;10,1154;7,65119;20,0687;;17,1522;36,9345;13,5869;17,8819;42,1048;26,9857;9,06094;15,4959;10,3498;33,5906;6,49884;20,2444;29,2755;81,4;33,3773;16,0;11,6;18,0;25,3;11,1135;8,57638;36,9162;17,3945;39,168;16,5336;35,3026;77,7494;19,6397;37,0843;17,2154;6,48752;28,1546;19,1221;10,0725;9,60167;29,5153;19,9388;6,48826;31,6119;23,8429;6,9;13,9979;13,7067;19,7978;13,8615;30,6835;27,7893;34,3378;21,3214;15,0952;20,1683;36,8724;12,4392
13.01.2016 11:00;5,00462;15,465;17,7611;19,7416;8,01799;;13,4298;8,85932;5,00145;;18,3127;62,5152;33,1629;43,5346;16,0038;20,2199;51,8;22,6;26,5;46,8;10,1;;17,6;21,3;16,8;17,2;25,04117;30,7;16,8;23,2;11,4;24,4;25,7;20,8;29,72802;24,1;20,6;21,76;25,2;22,6946;8,22191;12,6327;18,2011;18,3372;26,0742;6,53957;60,8493;28,6708;28,1222;32,1667;20,854;14,2301;11,888;20,7252;29,3093;21,7648;8,53517;14,897;12,100252;25,24;16,506;21,76;25,922496;15,3;22,2;21,141255;23,24;60,21;31,44;33,79;26,77;9,2169;17,565;24,4168;17,5;20,7;4,43816;19,3;5,42472;4,44646;27,1447;;10,7287;28,261;15,0942;28,336;25,1865;31,3385;17,9302;13,5014;8,97581;21,5411;7,07016;22,4059;31,5134;71,9;30,1573;16,6;13,9;19,0;18,7;11,0497;7,6156;;13,9378;39,9353;11,2989;30,9581;71,0291;17,1531;27,9742;16,4736;6,84443;18,9408;13,6543;9,90375;7,94745;20,4656;22,2075;6,82622;23,982;21,5648;7,0;14,724;7,658;22,2272;13,7683;26,9113;29,6509;34,9459;25,753;17,4369;20,2895;37,3536;29,559
13.01.2016 12:00;5,21824;17,2855;18,4564;18,6023;8,85135;25,4218;12,7684;8,9284;5,12692;;15,7031;57,5175;31,8387;36,4288;14,9666;17,758;37,7;21,3;28,3;49,4;5,7;;16,3;25,2;14,0;20,5;23,26208;29,0;16,3;22,8;12,8;24,8;27,9;19,1;28,94369;18,8;18,6;23,74;40,7;25,6257;6,61813;14,8034;16,3763;30,2913;27,9309;7,09564;46,8239;25,3771;24,7138;28,4458;18,4853;16,6612;9,7711;22,4262;29,9583;22,6746;9,52143;12,921;;22,44;14,616;20,56;18,877583;13,8;21,2;20,95734;18,94;54,11;28,74;30,39;25,17;7,61029;15,001;12,308;17,7;23,4;4,85902;18,5;6,10445;2,98909;22,2957;;7,57315;24,9394;14,5152;22,7536;22,7543;28,0704;19,1572;15,554;9,60588;;5,75232;23,179;24,1026;41,4;19,8162;16,1;10,6;15,0;19,2;10,7319;6,66279;36,9287;14,4883;35,392;10,8403;34,3374;70,5844;14,1639;27,3336;12,9303;7,15991;19,7767;15,663;10,4874;7,5962;16,4883;20,1471;6,87041;22,7379;22,5171;5,9;16,2167;6,90524;23,491;16,7379;27,5999;31,0254;36,8043;21,1498;23,5909;22,8955;32,4291;27,4839
13.01.2016 13:00;6,02648;14,0473;18,8268;20,5531;11,6677;15,5251;13,4456;9,48848;5,52089;;17,1054;63,4909;37,9279;41,4313;13,5945;22,9475;34,7;22,8;28,9;33,9;4,2;;16,5;35,5;15,1;20,5;25,59594;30,6;16,6;23,7;10,6;20,1;24,4;15,5;27,64285;20,6;18,2;25,02;33,8;26,0179;7,21376;14,8539;15,4337;18,0151;31,2048;7,10998;53,4317;;23,2568;30,523;16,6742;16,6431;12,5597;22,1743;33,054;19,3554;8,38319;12,398;12,024819;23,84;14,238;19,86;17,03267;14,1;21,2;21,273425;20,94;64,01;31,74;32,89;26,37;8,75749;15,0283;13,9001;20,2;18,5;3,53905;18,3;4,34017;2,61307;18,8843;;7,65595;27,4616;17,0461;25,2993;29,2846;28,1559;19,4018;17,746;9,11269;;4,24272;24,6727;19,5536;44,8;25,6884;15,9;9,2;14,0;21,6;11,724;7,97092;37,5809;15,7536;37,4162;12,544;27,0511;71,5221;14,353;25,5571;11,7129;7,11689;15,5665;12,6447;11,3514;7,3236;10,5672;21,06;;14,4697;25,4697;5,3;;7,22769;23,2525;;29,6989;;;21,9703;37,3785;15,6087;32,9114;21,2067
13.01.2016 14:00;9,52249;13,874;17,0013;14,1737;13,1912;18,1825;15,1303;7,77634;6,86635;;20,6019;66,4826;40,8925;49,5047;15,3741;23,9056;36,3;28,9;28,8;30,9;4,6;;15,3;35,3;7,3;22,1;23,31947;32,1;17,2;25,3;11,0;28,1;33,3;18,7;34,41487;42,5;20,8;24,85;35,4;25,5258;8,38771;17,157;14,8614;18,0688;35,3591;7,33783;56,2927;27,4652;28,1153;34,8473;18,7093;16,1292;12,79;26,4435;38,0586;18,1586;11,4243;14,563;14,290036;23,94;14,112;18,26;19,387757;15,7;25,4;20,28951;21,24;62,11;31,04;36,39;27,57;12,4508;16,615;21,8608;25,2;24,6;5,58596;18,0;3,62968;4,43425;20,6387;;8,64972;21,4335;21,3396;27,7637;29,4644;31,2001;17,2895;22,3054;8,93209;;4,2172;27,8351;18,7291;43,6;17,4988;21,2;9,3;20,0;20,9;12,9526;8,49406;40,9742;19,1369;35,313;9,39283;27,5859;76,3148;16,3996;25,8508;14,3608;6,32288;18,698;14,8801;9,95355;8,85347;20,171;18,3167;9,66626;12,1913;29,4788;6,2;16,5719;7,52839;24,9202;18,8934;20,2522;32,8875;43,6289;32,6395;27,6927;16,4194;32,1009;12,1763
13.01.2016 15:00;11,0205;12,2209;20,5843;14,8784;15,5336;18,3489;16,0632;5,90426;9,68151;;15,0054;41,9749;42,273;33,1332;18,5566;25,8266;42,2;37,6;28,5;21,9;4,7;;24,9;33,1;4,0;22,6;27,7385;49,3;21,4;24,1;11,9;32,5;38,8;25,3;42,33469;35,4;33,6;29,17;33,2;28,6582;13,165;17,0666;16,7733;18,0986;24,5953;8,17592;60,2627;37,4803;40,2038;42,8086;22,3683;20,0796;10,712;28,4293;38,3165;18,2784;11,7703;15,543;14,655254;25,34;18,396;21,06;21,742844;17,1;26,7;24,105595;22,84;62,71;36,24;40,69;30,47;8,62896;20,0249;19,5434;26,7;25,3;7,36505;;4,40382;5,71529;20,585;;12,5746;43,1825;12,9215;;33,6318;25,813;15,5794;14,9993;9,71951;20,2056;1,15768;35,7133;22,8792;72,9;25,3816;23,5;11,2;20,0;22,3;17,8111;9,09687;44,0403;17,8637;36,7667;13,4006;28,5881;83,3876;17,6712;30,5447;18,8165;6,10247;24,5209;16,6604;10,2064;10,0953;12,0631;23,9287;9,52863;11,5644;24,0501;4,8;17,4828;9,15485;29,7632;15,7919;20,7786;36,6233;37,7417;50,1408;27,8472;17,0112;38,8954;16,038
13.01.2016 16:00;11,428;11,1682;17,7806;17,6968;18,7469;21,3385;20,7845;6,62164;10,6179;;9,02086;51,6563;36,2949;33,9409;20,5451;22,0303;45,3;30,2;27,1;19,1;5,6;;27,6;42,9;3,5;27,4;27,77676;48,7;20,3;31,9;12,5;38,1;41,2;31,5;44,93637;34,6;37,8;27,38;32,7;27,7406;15,5841;19,3527;16,2578;17,6524;25,2585;9,68375;75,8563;46,6765;37,354;56,4391;;18,2176;12,0245;41,3006;53,5565;20,849;14,0026;13,888;16,720471;26,74;20,034;19,16;22,297931;20,5;29,3;25,32168;23,34;67,61;39,04;37,79;32,17;11,524;22,2592;14,1201;30,1;28,1;9,77543;22,1;17,935;8,74952;30,308;;22,1504;32,4296;12,3133;23,5451;29,0387;29,9387;17,6735;17,3649;8,71323;19,1664;2,99976;31,2524;20,9209;72,3;25,8885;17,2;9,1;19,0;23,2;22,6223;12,7074;50,7211;25,5407;50,5315;18,7256;32,6299;85,925;16,5074;35,1234;18,7421;9,46759;26,9191;20,7526;9,65054;9,59901;20,4795;35,0082;8,26841;16,2915;28,4041;3,9;21,2838;9,97676;34,3893;13,8973;23,4763;31,9787;40,6372;46,2239;27,348;18,3559;50,8693;11,8725
13.01.2016 17:00;9,08941;11,6858;17,8462;15,8859;20,9165;21,898;18,7551;8,23121;13,3358;;10,1527;35,4039;31,1064;34,4579;24,2095;22,0611;48,6;28,4;27,8;15,2;10,1;;37,2;38,4;3,1;26,5;37,70523;43,2;18,5;31,6;14,7;37,4;37,5;26,1;39,90518;29,4;27,6;37,74;35,8;27,4856;13,9022;17,4721;16,489;17,8159;27,0801;11,4672;67,7638;38,0253;47,6757;52,7213;33,8429;21,2731;15,3721;44,7339;53,0105;17,7838;20,5127;14,534;14,285688;33,04;17,01;21,26;25,953018;20,5;30,8;27,937765;25,34;78,31;36,44;40,29;35,17;24,9766;32,0496;11,9281;31,1;26,0;9,85195;23,4;23,8207;11,6281;30,8508;;24,8985;35,8882;26,9956;31,0943;29,387;41,563;14,5427;19,1599;12,3596;21,5014;4,70144;33,4977;21,8391;76,1;35,2922;19,7;10,4;27,0;27,6;22,9555;13,0606;49,1886;28,7524;46,0839;14,4866;35,6747;86,3601;18,7802;32,3787;19,5848;9,31356;28,518;17,822;10,3009;18,0066;29,3962;18,9572;7,47531;15,3306;34,9595;4,5;21,0581;9,5083;33,0946;18,4581;21,9774;41,9896;35,3799;39,9663;32,3367;29,5263;40,4444;6,40626
13.01.2016 18:00;12,7634;11,8489;15,7717;15,3911;19,8091;20,2507;18,9866;9,54215;11,7766;;9,78287;49,9729;30,4496;28,4452;24,5183;19,0992;37,0;18,8;31,9;;15,8;;33,6;42,1;3,4;23,4;24,40988;43,1;16,4;28,2;18,7;31,0;32,8;23,0;33,95575;23,3;27,0;36,73;33,2;26,1661;11,6677;16,0708;18,7352;18,2187;27,4276;;70,7523;44,0364;40,3983;52,2842;38,1094;26,9829;16,9792;39,3632;43,5466;21,7274;25,5455;16,492;15,250906;22,74;16,128;20,06;25,008105;22,1;31,6;27,15385;23,84;67,01;42,44;35,39;36,57;22,184;26,6647;11,9472;22,3;20,4;10,48324;7,4;25,6537;17,7742;25,6693;;40,6392;37,3748;23,9416;27,8538;27,265;35,9821;13,6594;19,0477;11,105;21,5098;4,78956;28,9285;21,3665;37,1;31,2174;18,5;10,8;20,0;30,9;20,5711;12,3919;43,7582;21,8427;38,4764;14,3571;29,4931;84,4939;21,467;38,9002;17,9386;14,5041;19,0944;18,3382;11,9744;16,4199;20,9449;15,5892;5,65504;15,5018;32,3611;5,9;26,1123;8,94573;37,2605;15,5061;16,4063;24,3881;28,5207;29,6154;27,1722;19,6481;38,4248;6,77804
13.01.2016 19:00;11,4844;10,479;15,2619;15,1159;17,648;19,0423;18,7799;11,089;11,2569;;9,65481;49,2954;26,1762;29,4692;20,9468;18,1708;51,6;19,2;35,6;25,1;16,8;;26,5;41,9;3,1;24,5;26,43766;33,5;16,9;26,5;19,0;29,1;29,0;21,2;30,39757;19,1;24,1;30,18;26,2;23,1404;7,10334;11,377;17,8223;18,8914;21,9065;10,8973;58,0898;34,2969;31,5788;37,2389;30,3141;22,4145;15,5438;31,0804;40,7957;31,8152;20,9532;16,968;16,216123;8,74;20,538;20,06;30,863192;14,8;24,2;26,769935;25,04;63,61;35,64;35,89;35,07;12,2772;28,6974;11,0609;6,7;14,8;8,64676;8,4;44,3752;12,7653;16,8709;;30,5522;33,5163;21,6588;24,8671;22,9258;30,7748;12,3518;18,397;7,79119;15,4566;4,14192;23,3832;18,4108;32,3;20,55;27,6;8,0;18,0;23,3;22,0192;14,2196;31,1619;16,7945;46,2137;14,4277;30,9834;70,232;28,5141;45,1152;19,5238;12,8109;22,7955;22,3327;12,3356;17,885;16,3281;15,7209;5,02906;13,9327;24,2473;6,0;18,5052;8,77517;34,617;10,9498;18,4888;18,0307;34,5643;28,8464;27,5588;15,3451;33,2906;5,07264
13.01.2016 20:00;13,645;12,765;15,3949;13,002;17,0347;15,711;16,6926;12,5647;11,7217;;12,1029;32,8823;31,615;24,3302;19,3861;19,0142;40,6;22,7;37,4;18,0;13,1;;36,0;44,5;2,1;19,2;19,05348;35,7;17,8;22,8;10,3;28,1;27,8;18,9;28,67587;17,5;20,7;27,15;24,4;17,877;5,88784;10,9774;15,5963;11,8819;18,1135;14,9614;49,8374;28,6432;29,1924;32,6278;35,7411;23,1526;18,143;41,569;47,4199;27,8155;12,9808;18,397;13,581341;7,04;12,474;27,06;28,918279;11,5;;25,48602;22,04;72,11;29,84;44,19;39,47;12,7345;22,474;12,1582;8,2;14,3;4,47642;21,1;20,8239;11,5671;15,2175;;11,4239;23,9665;17,9296;21,0205;19,532;26,3818;10,7505;10,7154;7,33019;11,4841;3,61096;24,0501;16,4371;20,1;12,8145;19,0;7,5;15,0;25,4;20,7709;14,0783;35,6052;17,3419;30,0429;13,3357;30,173;43,2298;20,185;32,7388;17,3647;18,6229;20,4229;12,4307;11,5171;30,5384;10,5159;12,05;3,59113;12,2046;15,85;4,2;26,2121;9,70082;24,5277;6,36199;11,8176;10,7651;24,6653;29,7557;25,1927;11,6753;24,6404;5,32811
13.01.2016 21:00;13,1391;10,8318;13,9919;14,1934;14,7126;15,126;15,3419;3,25529;10,6687;;12,8017;30,3197;30,5644;20,6694;19,0296;13,8602;32,6;17,3;38,3;14,4;11,3;;19,8;51,9;2,1;20,6;16,52832;24,6;15,0;19,2;8,6;24,6;25,0;33,7;26,03593;17,8;19,5;20,3;15,9;16,188;4,30776;6,72366;10,5688;12,3883;14,474;14,9513;39,343;24,5616;32,6645;32,1349;32,8747;19,1661;18,0979;30,362;30,958;19,0457;10,3201;15,646;7,146558;7,04;12,222;25,36;19,273366;17,5;21,7;19,702105;15,24;73,31;23,44;58,59;40,77;15,8903;15,9617;13,3607;11,8;19,3;3,86426;16,2;4,77779;11,1055;16,1103;;7,23576;16,807;15,9608;18,7278;15,8466;22,8011;8,89139;8,48641;5,64111;9,66331;3,60084;17,6918;12,9657;11,3;9,59138;16,8;9,0;13,0;24,5;21,5723;14,6268;36,2313;17,8541;21,1288;13,4643;26,0627;46,3681;20,957;23,8936;19,1805;18,4444;27,3538;11,7418;12,3292;21,0425;6,19493;9,29718;2,75658;12,4165;16,4056;4,1;20,1924;9,29173;22,6427;4,99992;8,9814;10,8888;24,2276;25,9355;23,1267;6,35736;23,2648;5,04662
13.01.2016 22:00;4,23198;5,89735;13,2526;7,43838;13,2693;12,6795;15,0892;2,92423;10,2437;;11,6581;27,6885;15,4459;12,7735;17,7622;12,0668;29,0;16,9;38,7;12,0;4,6;;13,1;43,8;1,3;13,9;18,3648;17,9;13,6;16,4;8,0;10,6;15,6;44,0;17,82916;18,2;22,8;19,83;9,5;12,8176;2,91674;4,9908;6,0759;10,1187;13,9718;15,4543;32,563;22,2205;27,1752;29,0645;25,4757;19,1784;17,5333;60,0252;67,7632;18,3579;8,50913;16,709;4,911775;7,74;12,222;10,86;17,428453;9,8;14,3;18,71819;6,24;74,21;34,14;40,49;35,37;13,6039;15,5443;12,1927;17,0;14,0;2,88863;9,3;5,93236;6,99526;17,3622;;8,20204;19,4057;17,3167;13,9358;14,1434;18,8386;5,52349;8,26076;4,50582;10,7737;3,60276;16,7109;8,24961;8,1;9,45768;14,3;10,5;12,0;21,0;16,9566;15,8436;25,7477;13,0084;19,1854;17,8881;24,5432;42,3588;25,4821;25,2833;17,8818;20,2497;30,3737;13,8747;12,1388;31,6989;4,77292;7,37408;1,67999;9,53838;12,2852;4,1;15,1432;6,84147;15,6285;4,79384;7,15891;10,8671;16,4312;27,8156;23,6148;4,92706;17,2042;5,34723
13.01.2016 23:00;5,99088;3,98861;6,66199;5,43558;12,1507;8,57555;12,9139;3,12669;9,29267;;7,43679;23,6436;14,3889;8,89811;10,4848;12,2453;19,7;13,4;39,0;10,7;2,0;;10,1;32,7;0,9;6,2;20,00998;16,6;14,8;16,4;4,9;9,6;18,1;34,8;16,39441;21,9;25,9;20,09;14,4;10,3206;2,78995;5,79852;7,16684;8,75877;9,92794;15,1786;28,8953;19,3684;23,2897;26,5157;17,8491;16,48;17,2433;57,0031;45,6617;14,2605;8,18445;15,206;6,576993;10,94;10,08;15,86;18,38354;10,0;12,6;21,434275;8,44;59,41;27,34;34,29;22,67;10,5479;14,4325;12,1082;21,9;8,6;;5,9;8,66285;7,60604;17,4434;;8,02847;17,1135;12,5028;8,88625;10,1756;15,5939;4,08248;7,7937;3,38337;6,22756;3,26108;15,4105;6,14383;5,6;5,74592;14,6;7,6;11,0;19,6;15,2009;13,6618;23,434;12,5992;22,7986;14,4219;23,5585;42,729;28,0526;25,02;18,9264;22,4718;28,5021;12,4827;11,6738;19,6306;6,70108;6,14232;1,50622;8,67546;4,85318;3,2;8,82676;6,16711;12,51;3,63789;5,65921;8,23328;11,3845;21,5;15,8823;3,5606;22,6324;6,15027
14.01.2016 00:00;3,85257;3,12297;5,59836;6,77361;9,4109;7,39162;17,0508;2,6426;3,5076;;5,17626;11,1964;11,4073;6,51483;9,18506;9,23394;15,1;10,1;40,6;7,7;1,1;;4,6;12,5;0,9;10,2;15,59095;13,2;8,8;11,5;4,3;10,8;25,3;11,0;25,4429;12,0;20,5;14,85;11,9;9,27114;2,87572;5,01844;4,66878;10,3771;9,57775;16,1028;21,7535;16,0166;18,9839;22,5956;15,7176;17,3265;15,5411;49,7141;48,2885;15,2082;6,47285;7,135;7,84221;12,84;9,45;22,36;13,938627;6,5;9,1;;4,44;38,81;24,24;22,49;19,27;9,74111;7,62529;10,7351;15,4;8,6;;4,1;10,6232;8,53761;16,0663;;7,57188;15,7182;16,4335;7,41551;7,02653;12,8502;3,28724;5,74796;2,4738;7,28875;3,0738;9,50225;4,76386;4,0;3,5144;15,7;7,7;13,0;17,6;12,7677;12,3829;20,3777;18,6565;20,8385;13,4096;19,8067;23,4454;13,3863;23,6536;17,2064;16,2913;15,5203;10,1527;13,5848;13,2247;5,76424;5,94624;1,13266;6,84425;1,14116;3,0;7,28611;5,49867;8,64132;3,66388;4,82136;7,82167;8,0439;10,5715;9,8877;3,24478;16,1001;5,3945
14.01.2016 01:00;2,67661;3,62992;6,98212;6,22203;6,0674;8,01016;11,5977;0,98466;2,70724;;5,54185;10,2356;12,8166;6,25657;9,28761;8,99429;9,0;9,8;41,9;5,1;0,7;;1,6;12,7;1,3;8,1;14,67271;3,8;4,3;11,0;3,6;10,5;9,5;7,6;11,61191;7,2;10,2;9,35;9,2;8,1124;3,71538;4,9301;4,28512;17,784;9,61442;18,0636;19,5875;16,3161;17,271;22,0921;15,469;16,531;15,0858;42,2693;28,7356;14,1428;4,93395;7,236;7,907428;6,94;6,93;14,36;;4,0;6,7;9,566445;4,24;25,31;29,24;9,39;15,57;15,483;5,29684;7,19022;8,5;5,6;2,08517;4,4;9,74108;8,53177;11,5704;;9,62206;13,8206;6,53805;4,52441;5,01258;8,14164;2,27886;5,31899;2,19649;7,67979;2,8508;7,34628;2,85068;3,7;4,18608;16,3;9,5;15,0;14,5;15,4071;11,5347;13,2018;11,0322;10,6994;7,4963;15,5217;12,7145;7,74809;13,2374;11,9052;13,9273;9,48157;4,22871;19,2841;15,059;2,12237;4,31222;1,1927;4,96276;1,94674;3,0;6,50017;4,58759;7,76516;4,48248;4,40692;6,53426;9,65637;8,60531;6,48327;2,69647;11,9718;5,30208
14.01.2016 02:00;4,83511;2,81052;6,63457;3,23456;9,72973;7,79654;7,47341;0,43574;3,88056;;4,99559;7,41022;14,3188;5,12206;11,3281;8,97197;8,4;9,0;42,3;4,7;0,5;;1,3;10,8;1,4;7,7;14,21359;3,6;6,4;6,0;2,1;8,8;7,9;6,6;7,70939;6,6;6,3;8,24;8,5;7,82731;4,46404;9,04105;4,79685;15,6377;7,73968;15,3953;17,0082;15,3452;14,5175;18,9522;13,5418;17,5358;14,424;35,7864;34,3369;7,72301;6,9139;9,46;6,272645;4,84;4,032;10,76;11,248801;2,5;5,5;9,48253;4,44;17,61;10,84;4,39;13,17;6,08919;3,94239;7,15409;4,5;4,1;2,21908;4,0;9,11486;7,83814;11,1753;;12,0719;14,1515;11,656;3,72444;4,84757;6,91082;1,95501;4,94154;2,24611;7,97902;2,41516;5,86847;2,47982;3,4;2,83157;8,0;8,2;5,0;13,1;6,43299;16,3412;6,90232;4,64912;6,88773;9,14892;15,4819;15,9078;6,36609;9,07669;5,58011;13,9576;6,38357;4,36042;11,3387;10,2239;3,43968;4,05715;1,48072;4,23192;1,13903;2,3;6,92355;3,84008;8,41015;3,4591;4,85956;5,24047;9,02828;13,8979;9,38526;2,84793;12,8131;5,98615
14.01.2016 03:00;2,24459;3,61876;4,69452;3,34722;6,27092;7,2694;7,59506;1,13292;3,63413;;4,14749;10,7505;14,9554;6,33788;15,0149;7,26409;8,5;7,4;42,8;5,5;0,7;;5,2;10,6;1,0;6,2;3,27123;6,3;12,1;2,5;2,3;11,3;7,2;7,7;7,47983;6,9;7,6;8,1;6,7;11,63;3,93481;7,1137;4,84999;13,1152;6,93197;8,12281;11,7198;8,30323;9,58998;15,33;13,6443;14,6812;10,7639;12,7873;17,0565;6,0316;9,08516;6,383;4,837862;4,14;2,898;7,66;8,903888;3,3;6,6;9,198615;3,64;20,61;9,64;3,19;9,77;7,30225;10,66;7,34964;3,4;4,4;;2,5;10,8034;9,62373;9,1119;;13,0023;10,8819;9,53561;3,24374;5,01123;5,67284;2,13504;3,80353;2,08757;5,35603;2,65436;4,47417;2,50847;2,7;2,65808;6,4;5,2;6,0;14,5;8,93849;13,1769;6,93419;4,05556;5,90277;6,46966;14,5365;10,2802;4,68997;11,4773;5,99194;11,1416;5,26618;2,13241;6,9464;8,52029;2,57898;4,3465;1,40089;3,957;0,34992;2,1;6,864;3,51936;8,47466;3,68681;5,56857;4,66209;8,55067;9,93963;11,8231;3,00566;17,7774;8,19133
14.01.2016 04:00;3,55499;3,36103;4,61554;5,45311;5,64866;7,65891;9,12512;0,68337;3,1715;;7,99953;10,0661;15,2041;5,92339;24,6177;8,54367;8,0;10,6;43,2;6,4;0,8;;1,1;11,0;1,3;5,5;2,41038;5,7;4,5;5,3;2,0;7,7;7,3;6,0;7,47983;6,7;6,3;7,63;9,9;15,1398;3,31363;8,04045;4,75806;8,37256;7,20882;8,8345;13,3655;7,73653;6,28527;14,9832;11,9643;12,6391;9,46006;6,6955;18,1174;8,06235;5,91064;5,492;4,30308;3,84;3,654;6,26;7,958975;4,1;7,0;8,467418;2,44;15,31;15,04;0,79;6,67;12,5337;8,98009;6,4314;4,7;3,3;;1,7;;12,1513;6,5264;;13,3665;10,5277;11,1052;2,94087;5,00958;5,23602;1,94404;3,20612;2,00262;10,2379;2,517;3,42527;2,53871;2,5;2,88888;5,4;3,1;7,0;10,3;4,63903;13,1955;11,4083;3,5433;7,83292;6,43884;15,0421;12,4461;4,78192;13,3559;4,95998;11,0025;5,18757;2,69036;5,18364;6,24686;2,18781;4,87549;1,12548;4,09203;0,0;2,2;8,15433;3,30485;9,09115;3,9776;5,77721;8,88549;9,70321;;21,4888;3,36956;18,907;7,00695
14.01.2016 05:00;3,45881;4,14218;11,1224;9,98001;10,115;11,308;10,5555;4,44188;3,69643;;14,9071;21,5016;16,6442;11,0417;28,9952;8,75995;15,4;11,8;42,8;5,9;1,2;;1,8;18,4;1,9;4,6;5,27988;6,2;4,4;5,7;2,3;7,7;7,3;6,6;6,84854;7,2;6,4;8,35;8,8;18,9865;3,23015;6,56458;7,52659;10,537;8,23175;6,53001;21,8603;11,0751;10,4471;15,2243;8,35079;10,5571;10,6581;6,27942;20,0797;4,0415;4,30691;4,698;4,068297;3,34;3,906;6,46;8,814062;3,3;7,0;8,831766;2,24;14,91;11,34;1,19;7,97;7,7436;10,7024;7,56273;6,1;2,9;;1,6;4,17684;9,11503;5,1031;;13,4348;5,9102;6,04752;3,07094;5,45098;4,67684;2,14808;4,90944;2,04004;11,3072;1,95112;4,39786;2,75836;5,2;3,79453;8,0;1,1;6,0;5,3;5,46765;16,3163;19,7318;4,1985;10,8953;6,58869;16,9568;37,5473;8,09342;12,1524;8,55164;7,00801;10,2712;3,96638;7,08292;8,92598;3,36846;4,01411;1,27613;4,32731;0,27792;2,4;7,95044;3,40163;11,2834;4,50799;7,73791;8,17911;11,5449;13,4606;18,0498;4,37177;23,1995;9,17601
